DateOfGame: 24-06-2023 14:59:17, Player score: 0, AI score: 0, Duration: 1211milliseconds
DateOfGame: 24-06-2023 15:02:01, Player score: 0, AI score: 1, Duration: 1526milliseconds
DateOfGame: 24-06-2023 15:02:32, Player score: 0, AI score: 0, Duration: 1318milliseconds
DateOfGame: 24-06-2023 15:02:47, Player score: 0, AI score: 0, Duration: 545milliseconds
DateOfGame: 24-06-2023 15:03:09, Player score: 0, AI score: 0, Duration: 333milliseconds
DateOfGame: 24-06-2023 15:05:01, Player score: 0, AI score: 0, Duration: 3055milliseconds
DateOfGame: 24-06-2023 15:05:24, Player score: 0, AI score: 0, Duration: 1315milliseconds
DateOfGame: 24-06-2023 15:05:56, Player score: 0, AI score: 0, Duration: 1100milliseconds
DateOfGame: 24-06-2023 15:06:18, Player score: 0, AI score: 2, Duration: 4143milliseconds
DateOfGame: 24-06-2023 15:06:43, Player score: 0, AI score: 0, Duration: 770milliseconds
DateOfGame: 24-06-2023 15:09:09, Player score: 0, AI score: 0, Duration: 990milliseconds
DateOfGame: 24-06-2023 15:09:49, Player score: 0, AI score: 0, Duration: 1198milliseconds
DateOfGame: 24-06-2023 15:10:15, Player score: 0, AI score: 0, Duration: 555milliseconds
DateOfGame: 24-06-2023 15:12:20, Player score: 0, AI score: 0, Duration: 650milliseconds
DateOfGame: 24-06-2023 15:12:53, Player score: 0, AI score: 0, Duration: 1426milliseconds
DateOfGame: 24-06-2023 15:13:09, Player score: 1, AI score: 1, Duration: 1538milliseconds
DateOfGame: 24-06-2023 15:13:22, Player score: 0, AI score: 1, Duration: 1432milliseconds
DateOfGame: 24-06-2023 15:14:17, Player score: 1, AI score: 0, Duration: 1414milliseconds
DateOfGame: 24-06-2023 15:21:39, Player score: 2, AI score: 0, Duration: 1970milliseconds
DateOfGame: 24-06-2023 15:23:03, Player score: 0, AI score: 0, Duration: 1204milliseconds
DateOfGame: 24-06-2023 15:23:13, Player score: 1, AI score: 0, Duration: 2724milliseconds
DateOfGame: 24-06-2023 15:23:39, Player score: 2, AI score: 6, Duration: 24496milliseconds
DateOfGame: 24-06-2023 15:23:59, Player score: 2, AI score: 3, Duration: 8159milliseconds
DateOfGame: 24-06-2023 15:24:03, Player score: 0, AI score: 0, Duration: 1743milliseconds
DateOfGame: 24-06-2023 15:24:05, Player score: 0, AI score: 0, Duration: 547milliseconds
DateOfGame: 24-06-2023 15:24:46, Player score: 7, AI score: 13, Duration: 41024milliseconds
DateOfGame: 24-06-2023 15:25:21, Player score: 0, AI score: 0, Duration: 118milliseconds
DateOfGame: 24-06-2023 15:25:24, Player score: 0, AI score: 0, Duration: 2177milliseconds
DateOfGame: 24-06-2023 15:25:37, Player score: 1, AI score: 4, Duration: 12073milliseconds
DateOfGame: 24-06-2023 15:25:58, Player score: 3, AI score: 7, Duration: 19915milliseconds
DateOfGame: 24-06-2023 15:26:00, Player score: 0, AI score: 0, Duration: 542milliseconds
DateOfGame: 24-06-2023 15:26:08, Player score: 2, AI score: 2, Duration: 7077milliseconds
DateOfGame: 24-06-2023 15:26:09, Player score: 1, AI score: 0, Duration: 537milliseconds
DateOfGame: 24-06-2023 15:26:10, Player score: 0, AI score: 0, Duration: 105milliseconds
DateOfGame: 24-06-2023 15:26:21, Player score: 3, AI score: 1, Duration: 9234milliseconds
DateOfGame: 24-06-2023 15:26:54, Player score: 0, AI score: 0, Duration: 654milliseconds
DateOfGame: 24-06-2023 15:27:01, Player score: 1, AI score: 1, Duration: 6313milliseconds
DateOfGame: 24-06-2023 15:28:48, Player score: 0, AI score: 0, Duration: 323milliseconds
DateOfGame: 24-06-2023 15:29:10, Player score: 5, AI score: 3, Duration: 19120milliseconds
DateOfGame: 24-06-2023 15:55:56, Player score: 0, AI score: 0, Duration: 1318milliseconds
DateOfGame: 24-06-2023 15:56:24, Player score: 0, AI score: 0, Duration: 1105milliseconds
DateOfGame: 24-06-2023 15:56:30, Player score: 0, AI score: 0, Duration: 878milliseconds
DateOfGame: 24-06-2023 15:59:27, Player score: 0, AI score: 0, Duration: 225milliseconds
DateOfGame: 24-06-2023 15:59:33, Player score: 0, AI score: 1, Duration: 1524milliseconds
DateOfGame: 24-06-2023 15:59:52, Player score: 0, AI score: 0, Duration: 1428milliseconds
DateOfGame: 24-06-2023 16:00:00, Player score: 0, AI score: 0, Duration: 1303milliseconds
DateOfGame: 24-06-2023 16:00:25, Player score: 0, AI score: 0, Duration: 769milliseconds
DateOfGame: 24-06-2023 16:00:48, Player score: 0, AI score: 0, Duration: 2400milliseconds
DateOfGame: 24-06-2023 16:01:07, Player score: 0, AI score: 0, Duration: 1962milliseconds
DateOfGame: 24-06-2023 16:04:03, Player score: 0, AI score: 0, Duration: 1421milliseconds
DateOfGame: 24-06-2023 16:04:10, Player score: 0, AI score: 0, Duration: 1645milliseconds
DateOfGame: 24-06-2023 16:04:19, Player score: 0, AI score: 0, Duration: 1089milliseconds
DateOfGame: 24-06-2023 16:04:59, Player score: 0, AI score: 0, Duration: 121milliseconds
DateOfGame: 24-06-2023 16:05:07, Player score: 0, AI score: 0, Duration: 1746milliseconds
DateOfGame: 24-06-2023 16:05:09, Player score: 0, AI score: 0, Duration: 1193milliseconds
DateOfGame: 24-06-2023 16:05:12, Player score: 0, AI score: 1, Duration: 1414milliseconds
DateOfGame: 24-06-2023 16:05:15, Player score: 0, AI score: 1, Duration: 2183milliseconds
DateOfGame: 24-06-2023 16:05:45, Player score: 0, AI score: 0, Duration: 223milliseconds
DateOfGame: 24-06-2023 17:33:49, Player score: 0, AI score: 0, Duration: 159milliseconds
DateOfGame: 24-06-2023 17:33:59, Player score: 2, AI score: 2, Duration: 8508milliseconds
DateOfGame: 24-06-2023 17:34:07, Player score: 0, AI score: 0, Duration: 5995milliseconds
DateOfGame: 24-06-2023 17:34:14, Player score: 0, AI score: 2, Duration: 6116milliseconds
DateOfGame: 24-06-2023 17:34:24, Player score: 1, AI score: 2, Duration: 9052milliseconds
DateOfGame: 24-06-2023 17:34:55, Player score: 5, AI score: 6, Duration: 19729milliseconds
DateOfGame: 24-06-2023 17:35:05, Player score: 3, AI score: 2, Duration: 9272milliseconds
DateOfGame: 24-06-2023 17:35:40, Player score: 0, AI score: 0, Duration: 982milliseconds
DateOfGame: 24-06-2023 17:37:09, Player score: 0, AI score: 0, Duration: 759milliseconds
DateOfGame: 24-06-2023 17:37:19, Player score: 1, AI score: 0, Duration: 2524milliseconds
DateOfGame: 24-06-2023 17:40:00, Player score: 0, AI score: 0, Duration: 771milliseconds
DateOfGame: 24-06-2023 17:40:04, Player score: 0, AI score: 0, Duration: 1193milliseconds
DateOfGame: 24-06-2023 17:40:22, Player score: 0, AI score: 0, Duration: 987milliseconds
DateOfGame: 24-06-2023 17:40:26, Player score: 0, AI score: 0, Duration: 2192milliseconds
DateOfGame: 24-06-2023 17:40:29, Player score: 0, AI score: 1, Duration: 1416milliseconds
DateOfGame: 24-06-2023 19:07:10, Player score: 0, AI score: 0, Duration: 1762milliseconds
DateOfGame: 24-06-2023 19:07:22, Player score: 0, AI score: 1, Duration: 1530milliseconds
DateOfGame: 24-06-2023 19:10:37, Player score: 0, AI score: 1, Duration: 2731milliseconds
DateOfGame: 24-06-2023 19:10:41, Player score: 0, AI score: 0, Duration: 2721milliseconds
DateOfGame: 24-06-2023 19:11:13, Player score: 0, AI score: 0, Duration: 4379milliseconds
DateOfGame: 24-06-2023 19:11:45, Player score: 0, AI score: 0, Duration: 332milliseconds
DateOfGame: 24-06-2023 19:11:53, Player score: 1, AI score: 1, Duration: 6981milliseconds
DateOfGame: 24-06-2023 19:11:55, Player score: 0, AI score: 0, Duration: 1086milliseconds
DateOfGame: 24-06-2023 19:11:58, Player score: 0, AI score: 0, Duration: 2068milliseconds
DateOfGame: 24-06-2023 19:12:43, Player score: 0, AI score: 1, Duration: 2300milliseconds
DateOfGame: 24-06-2023 19:12:49, Player score: 0, AI score: 0, Duration: 229milliseconds
DateOfGame: 24-06-2023 19:12:56, Player score: 1, AI score: 2, Duration: 3378milliseconds
DateOfGame: 24-06-2023 19:13:02, Player score: 1, AI score: 0, Duration: 1318milliseconds
DateOfGame: 24-06-2023 19:14:26, Player score: 2, AI score: 2, Duration: 10470milliseconds
DateOfGame: 24-06-2023 19:14:28, Player score: 0, AI score: 0, Duration: 107milliseconds
DateOfGame: 24-06-2023 19:14:51, Player score: 5, AI score: 6, Duration: 21926milliseconds
DateOfGame: 24-06-2023 19:18:29, Player score: 2, AI score: 0, Duration: 5232milliseconds
DateOfGame: 24-06-2023 19:20:36, Player score: 1, AI score: 0, Duration: 2182milliseconds
DateOfGame: 24-06-2023 19:23:36, Player score: 3, AI score: 7, Duration: 17681milliseconds
DateOfGame: 24-06-2023 19:27:28, Player score: 0, AI score: 1, Duration: 3265milliseconds
DateOfGame: 24-06-2023 19:27:52, Player score: 0, AI score: 1, Duration: 3166milliseconds
DateOfGame: 24-06-2023 19:29:18, Player score: 1, AI score: 3, Duration: 5687milliseconds
DateOfGame: 24-06-2023 19:29:30, Player score: 0, AI score: 1, Duration: 3060milliseconds
DateOfGame: 24-06-2023 19:30:34, Player score: 3, AI score: 2, Duration: 4783milliseconds
DateOfGame: 24-06-2023 19:30:41, Player score: 3, AI score: 0, Duration: 3795milliseconds
DateOfGame: 24-06-2023 19:31:29, Player score: 0, AI score: 1, Duration: 3163milliseconds
DateOfGame: 24-06-2023 19:33:55, Player score: 2, AI score: 1, Duration: 4351milliseconds
DateOfGame: 24-06-2023 19:33:58, Player score: 0, AI score: 0, Duration: 1845milliseconds
DateOfGame: 24-06-2023 19:34:03, Player score: 1, AI score: 1, Duration: 3795milliseconds
DateOfGame: 24-06-2023 19:34:04, Player score: 0, AI score: 0, Duration: 652milliseconds
DateOfGame: 24-06-2023 19:34:13, Player score: 1, AI score: 1, Duration: 7498milliseconds
DateOfGame: 24-06-2023 19:34:16, Player score: 0, AI score: 0, Duration: 2842milliseconds
DateOfGame: 24-06-2023 19:39:35, Player score: 0, AI score: 0, Duration: 2287milliseconds
DateOfGame: 24-06-2023 19:40:41, Player score: 1, AI score: 2, Duration: 2069milliseconds
DateOfGame: 24-06-2023 19:40:54, Player score: 3, AI score: 3, Duration: 12407milliseconds
DateOfGame: 24-06-2023 19:42:13, Player score: 0, AI score: 1, Duration: 2949milliseconds
DateOfGame: 24-06-2023 19:42:27, Player score: 1, AI score: 3, Duration: 11344milliseconds
DateOfGame: 24-06-2023 19:42:29, Player score: 0, AI score: 0, Duration: 326milliseconds
DateOfGame: 24-06-2023 19:42:30, Player score: 0, AI score: 0, Duration: 654milliseconds
DateOfGame: 24-06-2023 19:42:35, Player score: 0, AI score: 1, Duration: 3708milliseconds
DateOfGame: 24-06-2023 19:42:39, Player score: 0, AI score: 2, Duration: 2615milliseconds
DateOfGame: 24-06-2023 19:42:42, Player score: 0, AI score: 2, Duration: 3052milliseconds
DateOfGame: 24-06-2023 19:42:47, Player score: 1, AI score: 0, Duration: 3813milliseconds
DateOfGame: 24-06-2023 19:43:09, Player score: 2, AI score: 7, Duration: 20681milliseconds
DateOfGame: 24-06-2023 19:43:16, Player score: 1, AI score: 2, Duration: 5659milliseconds
DateOfGame: 24-06-2023 19:43:25, Player score: 2, AI score: 1, Duration: 7275milliseconds
DateOfGame: 24-06-2023 19:43:27, Player score: 0, AI score: 0, Duration: 1196milliseconds
DateOfGame: 24-06-2023 19:43:33, Player score: 0, AI score: 1, Duration: 4347milliseconds
DateOfGame: 24-06-2023 19:43:38, Player score: 1, AI score: 0, Duration: 3269milliseconds
DateOfGame: 24-06-2023 19:43:43, Player score: 1, AI score: 0, Duration: 4244milliseconds
DateOfGame: 24-06-2023 19:44:03, Player score: 3, AI score: 7, Duration: 18278milliseconds
DateOfGame: 24-06-2023 19:44:15, Player score: 2, AI score: 2, Duration: 9247milliseconds
DateOfGame: 24-06-2023 19:48:28, Player score: 1, AI score: 0, Duration: 2182milliseconds
DateOfGame: 24-06-2023 20:51:33, Player score: 0, AI score: 0, Duration: 667milliseconds
DateOfGame: 24-06-2023 20:51:35, Player score: 0, AI score: 0, Duration: 758milliseconds
DateOfGame: 24-06-2023 20:51:36, Player score: 0, AI score: 0, Duration: 443milliseconds
DateOfGame: 24-06-2023 20:51:58, Player score: 5, AI score: 5, Duration: 21960milliseconds
DateOfGame: 24-06-2023 20:52:01, Player score: 0, AI score: 1, Duration: 1199milliseconds
DateOfGame: 24-06-2023 20:52:09, Player score: 2, AI score: 2, Duration: 6530milliseconds
DateOfGame: 24-06-2023 20:52:59, Player score: 0, AI score: 0, Duration: 146milliseconds
DateOfGame: 24-06-2023 20:53:02, Player score: 0, AI score: 0, Duration: 1743milliseconds
DateOfGame: 24-06-2023 20:54:41, Player score: 4, AI score: 7, Duration: 25622milliseconds
DateOfGame: 24-06-2023 20:54:54, Player score: 4, AI score: 2, Duration: 11881milliseconds
DateOfGame: 24-06-2023 20:55:01, Player score: 0, AI score: 0, Duration: 5988milliseconds
DateOfGame: 24-06-2023 20:55:13, Player score: 3, AI score: 1, Duration: 10895milliseconds
DateOfGame: 24-06-2023 20:55:18, Player score: 0, AI score: 0, Duration: 1317milliseconds
DateOfGame: 24-06-2023 21:03:52, Player score: 5, AI score: 5, Duration: 21606milliseconds
DateOfGame: 24-06-2023 21:03:57, Player score: 0, AI score: 2, Duration: 3824milliseconds
DateOfGame: 24-06-2023 21:04:06, Player score: 4, AI score: 4, Duration: 7524milliseconds
DateOfGame: 24-06-2023 21:04:21, Player score: 0, AI score: 3, Duration: 6662milliseconds
DateOfGame: 24-06-2023 21:04:28, Player score: 2, AI score: 3, Duration: 6093milliseconds
DateOfGame: 24-06-2023 21:04:47, Player score: 5, AI score: 5, Duration: 18185milliseconds
DateOfGame: 24-06-2023 21:05:04, Player score: 3, AI score: 2, Duration: 10462milliseconds
DateOfGame: 24-06-2023 21:11:01, Player score: 2, AI score: 10, Duration: 29587milliseconds
DateOfGame: 24-06-2023 21:11:16, Player score: 0, AI score: 0, Duration: 2847milliseconds
DateOfGame: 24-06-2023 21:11:18, Player score: 0, AI score: 0, Duration: 1626milliseconds
DateOfGame: 24-06-2023 21:11:20, Player score: 0, AI score: 0, Duration: 979milliseconds
DateOfGame: 24-06-2023 21:11:28, Player score: 2, AI score: 3, Duration: 7838milliseconds
DateOfGame: 24-06-2023 21:11:37, Player score: 1, AI score: 4, Duration: 8832milliseconds
DateOfGame: 24-06-2023 21:12:00, Player score: 4, AI score: 7, Duration: 21696milliseconds
DateOfGame: 24-06-2023 21:12:00, Player score: 0, AI score: 0, Duration: 110milliseconds
DateOfGame: 24-06-2023 21:12:01, Player score: 0, AI score: 0, Duration: 756milliseconds
DateOfGame: 24-06-2023 21:12:02, Player score: 0, AI score: 0, Duration: 431milliseconds
DateOfGame: 24-06-2023 21:12:21, Player score: 5, AI score: 4, Duration: 18884milliseconds
